vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
RED,SCARLET MX,5K ANA,1.3333,23.53,0.005400,3600,2700,19.44,14.58,35.00
RED,SCARLET MX,4K,1.8963,18.91,0.005400,4096,2160,22.12,11.66,35.00
RED,SCARLET MX,4K HD,1.7778,18.91,0.005401,3840,2160,20.74,11.66,35.00
RED,SCARLET MX,4K 2:1,2.0000,17.96,0.005400,4096,2048,22.12,11.06,35.00
RED,SCARLET MX,4K WS,2.4009,14.99,0.005400,4096,1706,22.12,9.21,35.00
RED,SCARLET MX,3K,1.8963,14.25,0.005400,3072,1620,16.59,8.75,35.00
RED,SCARLET MX,3K HD,1.7778,14.25,0.005399,2880,1620,15.55,8.75,35.00
RED,SCARLET MX,3K 2:1,2.0000,13.51,0.005400,3072,1536,16.59,8.29,35.00
RED,SCARLET MX,3K WS,2.4000,11.28,0.005400,3072,1280,16.59,6.91,35.00
RED,SCARLET MX,2K,1.8963,9.52,0.005400,2048,1080,11.06,5.83,35.00
RED,SCARLET MX,2K HD,1.7778,9.52,0.005401,1920,1080,10.37,5.83,35.00
RED,SCARLET MX,2K 2:1,2.0000,9.05,0.005400,2048,1024,11.06,5.54,35.00
RED,SCARLET MX,2K WS,2.3981,7.54,0.005400,2048,854,11.06,4.61,35.00
RED,SCARLET MX,1K HD,1.7778,6.35,0.005398,1280,720,6.91,3.88,35.00
RED,SCARLET MX,1K WS,2.6667,4.24,0.005398,1280,480,6.91,2.59,35.00
RED,SCARLET-W 5K,5K FF,1.8963,21.82,0.004996,5120,2700,25.58,13.49,35.00
RED,SCARLET-W 5K,5K 2:1,2.0000,20.71,0.004996,5120,2560,25.58,12.79,35.00
RED,SCARLET-W 5K,5K WS,2.3704,17.53,0.004996,5120,2160,25.58,10.79,35.00
RED,SCARLET-W 5K,5K HD,1.7778,21.82,0.004996,4800,2700,23.98,13.49,35.00
